Transparent|透明|Transparent|Unsichtbar (erfordert Passierbarkeit = Stern, wenn in B-Slot)|Transparente
Sign|立て札|Pancarte|Wegweiser|Signo
Pier (H)|桟橋（横）|Ponton (H)|Anlegesteg (H)|Muelle (H)
Pier (V)|桟橋（縦）|Ponton (V)|Anlegesteg (V)|Muelle (V)
Pond|池|Mare|Teich|Estanque
Pond|池|Mare|Oase|Estanque
Pond (Ice)|池（氷）|Mare (glace)|Teich (gefroren)|Estanque (Hielo)
Beanstalk|豆の木|Branche de haricot|Bohnenstange|Planta Gigante
Tent|テント|Tente|Zelt|Tienda de Campaña
Igloo|氷の家|Igloo|Iglu|Iglú
Pyramid|ピラミッド|Pyramide|Pyramide|Pirámide
Giant Tree|大樹|Arbre géant|gigantischer Baum|Árbol Gigante
Giant Tree (Snow)|大樹（雪）|Arbre géant (neige)|gigantischer Baum (verschneit)|Árbol Gigante (Nieve)
Dirt|土砂|Poussière|Erdwall|Tierra
Avalanche|雪崩|Avalanche|Schneewehe|Avalancha
Beanstalk|豆の木|Branche de haricot|Bohnenstange|Planta Gigante
Cave|洞窟|Grotte|Höhleneingang|Cueva
Cave|洞窟|Grotte|Höhleneingang|Cueva
Cave (Collapsed)|洞窟（土砂崩れ）|Grotte (effondrée)|verschütteter Höhleneingang|Cueva (Colapsada)
Mine|坑道|Mine|Mine|Mina
Tunnel|トンネル|Tunnel|Tunnel|Túnel
Tunnel (Blocked)|トンネル（通行止め）|Tunnel (bloqué)|blockierter Tunnel|Túnel (Bloqueado)
Shrine|ほこら|Autel|Schrein|Santuario
Shrine (Snow)|ほこら（雪）|Autel (neige)|Schrein (verschneit)|Santuario (Nieve)
Crater|クレーター|Cratère|Krater|Cráter
Trail|山道|Chemin de montagne|Bergweg|Sendero
Rock Mountain|岩山|Montagne rocheuse|Felsenberg|Montaña Rocosa
Rock Mountain|岩山|Montagne rocheuse|Felsenberg|Montaña Rocosa
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)|Felsenberg (Sandstein)|Montaña Rocosa (Arenisca)
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)|Felsenberg (Sandstein)|Montaña Rocosa (Arenisca)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)|Felsenberg (verschneit)|Montaña Rocosa (Nieve)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)|Felsenberg (verschneit)|Montaña Rocosa (Nieve)
Volcano Crater (Lava)|火口（溶岩）|Cratère volcanique (lave)|Vulkankrater (aktiv, Lava)|Cráter de Volcán (Lava)
Volcano Crater (Lava)|火口（溶岩）|Cratère volcanique (lave)|Vulkankrater (aktiv, Lava)|Cráter de Volcán (Lava)
Rock Mountain|岩山|Montagne rocheuse|Felsenberg|Montaña Rocosa
Rock Mountain|岩山|Montagne rocheuse|Felsenberg|Montaña Rocosa
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)|Felsenberg (Sandstein)|Montaña Rocosa (Arenisca)
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)|Felsenberg (Sandstein)|Montaña Rocosa (Arenisca)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)|Felsenberg (verschneit)|Montaña Rocosa (Nieve)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)|Felsenberg (verschneit)|Montaña Rocosa (Nieve)
Volcano Crater|火口|Cratère volcanique|Vulkankrater|Cráter de Volcán 
Volcano Crater|火口|Cratère volcanique|Vulkankrater|Cráter de Volcán 
Rock Mountain|岩山|Montagne rocheuse|Felsenbergformation|Montaña Rocosa
Rock Mountain|岩山|Montagne rocheuse|Felsenbergformation|Montaña Rocosa
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)|Felsenbergformation (Sandstein)|Montaña Rocosa (Arenisca)
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)|Felsenbergformation (Sandstein)|Montaña Rocosa (Arenisca)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)|Felsenbergformation (verschneit)|Montaña Rocosa (Nieve)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)|Felsenbergformation (verschneit)|Montaña Rocosa (Nieve)
Volcano|火山|Volcan|Vulkan|Volcán
Volcano|火山|Volcan|Vulkan|Volcán
Rock Mountain|岩山|Montagne rocheuse|Felsenbergformation|Montaña Rocosa
Rock Mountain|岩山|Montagne rocheuse|Felsenbergformation|Montaña Rocosa
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)|Felsenbergformation (Sandstein)|Montaña Rocosa (Arenisca)
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)|Felsenbergformation (Sandstein)|Montaña Rocosa (Arenisca)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)|Felsenbergformation (verschneit)|Montaña Rocosa (Nieve)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)|Felsenbergformation (verschneit)|Montaña Rocosa (Nieve)
Town A|町A|Ville A|Stadt A|Pueblo A
Town A|町A|Ville A|Stadt A|Pueblo A
Town B|町B|Ville B|Stadt B|Pueblo B
Town B|町B|Ville B|Stadt B|Pueblo B
Village A|村A|Village A|Dorf A|Aldea A
Village A|村A|Village A|Dorf A|Aldea B
Village B|村B|Village B|Dorf B|Aldea B
House (Town)|家（町）|Maison (ville)|Haus (Stadt)|Casa (Pueblo)
Town C|町C|Ville C|Stadt C|Pueblo C
Town D|町D|Ville D|Stadt D|Pueblo D
Village C|村C|Village C|Dorf C|Aldea C
Village D|村D|Village D|Dorf D|Aldea D
Town E (Desert)|町E（砂漠）|Ville E (désert)|Stadt E (Wüste)|Pueblo E (Desierto)
Town E (Desert)|町E（砂漠）|Ville E (désert)|Stadt E (Wüste)|Pueblo E (Desierto)
Town F (Desert)|町F（砂漠）|Ville F (désert)|Stadt F (Wüste)|Pueblo F (Desierto)
Houses (Village)|家（村）|Maisons (village)|Haus (Dorf)|Casas (Aldea)
Town A (Snow)|町A（雪）|Ville A (neige)|Stadt A (verschneit)|Pueblo A (Nieve)
Town A (Snow)|町A（雪）|Ville A (neige)|Stadt A (verschneit)|Pueblo A (Nieve)
Town B (Snow)|町B（雪）|Ville B (neige)|Stadt B (verschneit)|Pueblo B (Nieve)
Town B (Snow)|町B（雪）|Ville B (neige)|Stadt B (verschneit)|Pueblo B (Nieve)
Town G (Desert)|町G（砂漠）|Ville G (désert)|Stadt G (Wüste)|Pueblo G (Desierto)
Town G (Desert)|町G（砂漠）|Ville G (désert)|Stadt G (Wüste)|Pueblo G (Desierto)
Large Tent|大きなテント|Grande tente|großes Zelt|Tienda de Campaña Grande
House (Desert)|家（砂漠）|Maison (desert)|Haus (Wüste)|Casa (Desierto)
Town C (Snow)|町C（雪）|Ville C (neige)|Stadt C (verschneit)|Pueblo C (Nieve)
Town D (Snow)|町D（雪）|Ville D (neige)|Stadt D (verschneit)|Pueblo D (Nieve)
Village C (Snow)|村C（雪）|Village C (neige)|Dorf C (verschneit)|Aldea C (Nieve)
Village D (Snow)|村D（雪）|Village D (neige)|Dorf D (verschneit)|Aldea D (Nieve)
Village A (Snow)|村A（雪）|Village A (neige)|Dorf A (verschneit)|Aldea A (Nieve)
Village A (Snow)|村A（雪）|Village A (neige)|Dorf A (verschneit)|Aldea A (Nieve)
Village B (Snow)|村B（雪）|Village B (neige)|Dorf B (verschneit)|Aldea B (Nieve)
House (Snow)|家（雪）|Maison (neige)|Haus (verschneit)|Casa (Nieve)
Fortress City |城塞都市|Cité fortifiée|Festungsstadt|Ciudad Fortificada
